condition,seed,window_start,window_end,profile,minimum_cost,confidence_cost_threshold_95,lambda_at_minimum,truth_profile_cost,truth_in_region_95,lambda_region_lower_95,lambda_region_upper_95,lambda_region_width_95,boundary_hit,expansion_count,refinement_count,accepted_point_count,region_resolved,kappa_at_minimum,kappa_region_lower_95,kappa_region_upper_95,kappa_region_width_95,ridge_direction_lambda_kappa_json
parameter_mismatch_high_k,102,81,150,lambda_1d,0.004663789699590645,0.004794561641775717,0.8346022987931703,0.004682587514512177,True,0.8312553164548793,0.8379492760702905,0.0066939596154111936,False,0,24,22,True,,,,,
parameter_mismatch_high_k,102,81,150,lambda_kappa_2d,0.004663789699590645,0.0048677526969648395,0.8346022987931703,0.010846167560929904,False,0.8304969839285029,0.8387076136578376,0.008210629729334729,False,0,2,1585,True,370.9435690494645,370.21755657876156,371.6695815201674,1.4520249414058526,"[-0.00014752703475164834, -0.999999989117887]"
parameter_mismatch_high_k,102,91,160,lambda_1d,0.0037348575829792914,0.003839582412221424,0.8355858363195598,0.0037844747820816797,True,0.8323133775025764,0.838858295366726,0.006544917864149569,False,0,24,17,True,,,,,
parameter_mismatch_high_k,102,91,160,lambda_kappa_2d,0.0037348575829792914,0.003898195296825407,0.8355858363195598,0.01349690597164336,False,0.8315719307426912,0.8395997418964285,0.008027811153737296,False,0,2,1583,True,370.53813071229104,369.97031371760374,371.1059477069783,1.1356339893745826,"[-9.723497154670504e-05, 0.9999999952726802]"
parameter_mismatch_high_k,102,101,170,lambda_1d,0.0030169674615639405,0.0031015627627827137,0.8367078433900379,0.0031059790676345087,False,0.8334181137257746,0.8399975734924934,0.006579459766718809,False,0,24,22,True,,,,,
parameter_mismatch_high_k,102,101,170,lambda_kappa_2d,0.0030169674615639405,0.003148909458540135,0.8367078433900379,0.014038584844328548,False,0.8326727499403617,0.8407429368397141,0.00807018689935246,False,0,2,1581,True,370.5822958362129,370.10745921213487,371.0571324602909,0.9496732481560457,"[-0.00058106108513098, 0.9999998311839935]"
parameter_mismatch_high_k,102,111,180,lambda_1d,0.0011673971803500558,0.0012001308168150863,0.8386560609413627,0.0013343732435174278,False,0.8362993625288045,0.8410127606060216,0.004713398077217046,False,0,24,25,True,,,,,
parameter_mismatch_high_k,102,111,180,lambda_kappa_2d,0.0011673971803500558,0.0012184513323096264,0.8386560609413627,0.010964509029349765,False,0.8357653988388557,0.8415467230438697,0.005781324205013982,False,0,2,1570,True,370.6674075464936,370.3602287391832,370.97458635380406,0.6143576146208716,"[0.0011971737490751836, -0.9999992833872505]"
parameter_mismatch_high_k,102,121,190,lambda_1d,0.0006465815193492819,0.0006647115651945527,0.8401760418052342,0.0008454976210525533,False,0.838110221606494,0.8422418632163993,0.004131641609905312,False,0,24,19,True,,,,,
parameter_mismatch_high_k,102,121,190,lambda_kappa_2d,0.0006465815193492819,0.0006748586744587449,0.8401760418052342,0.012685506971666337,False,0.8376421644669713,0.8427099191434971,0.005067754676525871,False,0,2,1557,True,370.47902866839513,370.263806464818,370.69425087197226,0.4304444071542548,"[-0.0016762584171933015, 0.9999985950778726]"
parameter_mismatch_high_k,102,131,200,lambda_1d,0.00045915122312448886,0.00047202575243911703,0.8418049521081968,0.0006678734687461321,False,0.8397009445106769,0.8439089632353709,0.004208018724694007,False,0,24,18,True,,,,,
parameter_mismatch_high_k,102,131,200,lambda_kappa_2d,0.00045915122312448886,0.0004792314295121651,0.8418049521081968,0.013020225732123211,False,0.8392242327265429,0.8443856714898508,0.0051614387633078795,False,0,2,1567,True,370.63086012801654,370.4592294636309,370.8024907924022,0.3432613287712911,"[-0.001680880009430248, 0.9999985873201992]"
parameter_mismatch_high_k,102,141,210,lambda_1d,0.000309061324247335,0.0003177273560003666,0.8433415067459712,0.0004914076687882915,False,0.8411596977836047,0.8455233162862625,0.004363618502657873,False,0,24,28,True,,,,,
parameter_mismatch_high_k,102,141,210,lambda_kappa_2d,0.000309061324247335,0.0003225776013795259,0.8433415067459712,0.019249166833043566,False,0.8406653626297477,0.8460176508621947,0.0053522882324470444,False,0,2,1571,True,370.4372229409588,370.3174105482571,370.5570353336605,0.23962478540340726,"[-0.0013461845957443053, 0.9999990938931066]"
parameter_mismatch_high_k,102,151,220,lambda_1d,0.0001405314447054471,0.00014447192468974366,0.846238981033233,0.00030867963834619965,False,0.8442633399319541,0.8482146237496856,0.003951283817731466,False,0,24,23,True,,,,,
parameter_mismatch_high_k,102,151,220,lambda_kappa_2d,0.0001405314447054471,0.00014667735104637085,0.846238981033233,0.02491447803752913,False,0.8438157136673152,0.8486622483991508,0.004846534731835606,False,0,2,1583,True,370.4423764107365,370.37176501980287,370.5129878016701,0.1412227818672136,"[-0.0008963821121309503, 0.9999995982494738]"
parameter_mismatch_high_k,102,161,230,lambda_1d,5.9470290163833016e-05,6.113782790630816e-05,0.8496395320537573,0.00018584088949408578,False,0.8477664024254425,0.8515126625389289,0.0037462601134863327,False,0,24,20,True,,,,,
