condition,seed,window_start,window_end,phase,optimizer_success,optimizer_cost,inverse_mass,state_rmse_to_true,state_minus_measurement_rms,measurement_minus_true_rms,measurement_cost,process_cost,arrival_cost,inverse_mass_prior_cost,total_cost,measurement_residual_rms,process_residual_rms_weighted,process_residual_rms_raw,state_bound_hit_count,parameter_bound_hit
parameter_mismatch_low_k,102,0,70,before,False,0.0005080117076834507,1.0526315789473684,0.015259298328573449,0.015259298328573449,0.0,0.004203356129096059,436.0881297627467,3.851859888774471e-33,0.0,436.0923331188758,0.0054406892486776395,1.7649122393453582,0.05553689190037238,0,0
parameter_mismatch_low_k,102,0,70,after,False,0.0005080117076834507,0.8331610236910506,0.0018666367118896395,0.0018666367118896395,0.0,0.00048228944887011485,1.3426362952853674e-06,2.9596020579247245e-07,2.408366231225821e-05,0.000508011707683451,0.0018429336855969212,9.792986904942913e-05,7.958159430474847e-07,0,0
parameter_mismatch_low_k,102,10,80,before,False,0.00079269350917085,1.0526315789473684,0.011658160667327404,0.011658160667327404,0.0,0.003910936318941738,467.62295135345164,0.0,0.0,467.6268622897706,0.0052480286835125045,1.8276115392060042,0.05756369761197364,0,0
parameter_mismatch_low_k,102,10,80,after,False,0.00079269350917085,0.8330054089380833,0.002321733869215875,0.002321733869215875,0.0,0.0007620869017646493,1.1126370090399931e-06,5.376143120687273e-06,2.411782727647369e-05,0.0007926935091708503,0.002316637469988925,8.914823165620574e-05,7.143287131256538e-07,0,0
parameter_mismatch_low_k,103,0,70,before,False,0.0005080117076834507,1.0526315789473684,0.015259298328573449,0.015259298328573449,0.0,0.004203356129096059,436.0881297627467,3.851859888774471e-33,0.0,436.0923331188758,0.0054406892486776395,1.7649122393453582,0.05553689190037238,0,0
parameter_mismatch_low_k,103,0,70,after,False,0.0005080117076834507,0.8331610236910506,0.0018666367118896395,0.0018666367118896395,0.0,0.00048228944887011485,1.3426362952853674e-06,2.9596020579247245e-07,2.408366231225821e-05,0.000508011707683451,0.0018429336855969212,9.792986904942913e-05,7.958159430474847e-07,0,0
parameter_mismatch_low_k,103,10,80,before,False,0.00079269350917085,1.0526315789473684,0.011658160667327404,0.011658160667327404,0.0,0.003910936318941738,467.62295135345164,0.0,0.0,467.6268622897706,0.0052480286835125045,1.8276115392060042,0.05756369761197364,0,0
parameter_mismatch_low_k,103,10,80,after,False,0.00079269350917085,0.8330054089380833,0.002321733869215875,0.002321733869215875,0.0,0.0007620869017646493,1.1126370090399931e-06,5.376143120687273e-06,2.411782727647369e-05,0.0007926935091708503,0.002316637469988925,8.914823165620574e-05,7.143287131256538e-07,0,0
parameter_mismatch_high_k,101,0,70,before,False,0.00011857335058106466,1.0526315789473684,0.014991299695226487,0.014991299695226487,0.0,0.0021018641209296298,440.36369279335275,3.851859888774471e-33,0.0,440.36579465747366,0.003847318547579169,1.7735430495265536,0.05562445201206908,0,0
parameter_mismatch_high_k,101,0,70,after,False,0.00011857335058106466,0.8333295706630697,0.0011092219489255825,0.0011092219489255825,0.0,9.368684601027449e-05,3.629484309173994e-07,4.768707211094726e-07,2.4046685418763305e-05,0.00011857335058106466,0.0008122601314844377,5.091648841256766e-05,3.6102992686602654e-07,0,0
parameter_mismatch_high_k,101,10,80,before,True,9.930873642667115e-05,1.0526315789473684,0.011260741452493728,0.011260741452493728,0.0,0.0012107135802165434,470.853695670333,0.0,0.0,470.85490638391326,0.002919957529375374,1.8339140337975284,0.057502065309288135,0,0
parameter_mismatch_high_k,101,10,80,after,True,9.930873642667115e-05,0.8334186071502251,0.0006771764869801188,0.0006771764869801188,0.0,7.168945159245118e-05,1.1997411259549412e-07,3.4721472195569314e-06,2.4027163502067563e-05,9.930873642667117e-05,0.000710531697325732,2.92738440781301e-05,1.8017396652267284e-07,0,0
parameter_mismatch_high_k,102,0,70,before,False,0.00011857335058106466,1.0526315789473684,0.014991299695226487,0.014991299695226487,0.0,0.0021018641209296298,440.36369279335275,3.851859888774471e-33,0.0,440.36579465747366,0.003847318547579169,1.7735430495265536,0.05562445201206908,0,0
parameter_mismatch_high_k,102,0,70,after,False,0.00011857335058106466,0.8333295706630697,0.0011092219489255825,0.0011092219489255825,0.0,9.368684601027449e-05,3.629484309173994e-07,4.768707211094726e-07,2.4046685418763305e-05,0.00011857335058106466,0.0008122601314844377,5.091648841256766e-05,3.6102992686602654e-07,0,0
parameter_mismatch_high_k,102,10,80,before,True,9.930873642667115e-05,1.0526315789473684,0.011260741452493728,0.011260741452493728,0.0,0.0012107135802165434,470.853695670333,0.0,0.0,470.85490638391326,0.002919957529375374,1.8339140337975284,0.057502065309288135,0,0
parameter_mismatch_high_k,102,10,80,after,True,9.930873642667115e-05,0.8334186071502251,0.0006771764869801188,0.0006771764869801188,0.0,7.168945159245118e-05,1.1997411259549412e-07,3.4721472195569314e-06,2.4027163502067563e-05,9.930873642667117e-05,0.000710531697325732,2.92738440781301e-05,1.8017396652267284e-07,0,0
parameter_mismatch_high_k,103,0,70,before,False,0.00011857335058106466,1.0526315789473684,0.014991299695226487,0.014991299695226487,0.0,0.0021018641209296298,440.36369279335275,3.851859888774471e-33,0.0,440.36579465747366,0.003847318547579169,1.7735430495265536,0.05562445201206908,0,0
parameter_mismatch_high_k,103,0,70,after,False,0.00011857335058106466,0.8333295706630697,0.0011092219489255825,0.0011092219489255825,0.0,9.368684601027449e-05,3.629484309173994e-07,4.768707211094726e-07,2.4046685418763305e-05,0.00011857335058106466,0.0008122601314844377,5.091648841256766e-05,3.6102992686602654e-07,0,0
parameter_mismatch_high_k,103,10,80,before,True,9.930873642667115e-05,1.0526315789473684,0.011260741452493728,0.011260741452493728,0.0,0.0012107135802165434,470.853695670333,0.0,0.0,470.85490638391326,0.002919957529375374,1.8339140337975284,0.057502065309288135,0,0
