setting,case,candidate_index,fit_end_time_s,reference_epoch,parameter_identification_status,active_bound_count,rank,rrqr_rank,condition_number,control_model_status,decision_time_s,decision_reason,decision_block_count,look_count,final_delta_prior_mean_nms2,final_delta_prior_upper_nms2,final_delta_last_mean_nms2,final_delta_last_upper_nms2,oracle_improvement_vs_last_valid_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,4,7.380000000000799,0,identified_boundary_pressured,3,11,11,4227.698737867983,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.47510750091927845,0.4258674481996264,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,5,7.880000000000966,0,identified_boundary_pressured,3,11,11,4264.796998085577,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.469286101870626,0.4219999024568207,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,6,8.380000000000795,0,identified_boundary_pressured,3,11,11,1525.969344973897,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.46818474008857436,0.4172220490632,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,7,8.880000000000518,0,identified_boundary_pressured,3,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4555165371883505,0.41392564399861315,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,8,9.38000000000024,0,identified_boundary_pressured,3,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4567841006070861,0.4134866772546703,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,9,9.879999999999963,0,identified_boundary_pressured,3,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4566288449533107,0.41317383997937585,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,10,10.379999999999686,0,identified_boundary_pressured,4,11,11,651.956316437556,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.44682455816202626,0.41791694438676164,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,11,10.87999999999941,0,identified_boundary_pressured,3,11,11,546.6263862835295,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4442954108055588,0.41612414323108393,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,12,11.379999999999132,0,identified_boundary_pressured,3,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4416983208349343,0.41674170175263725,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_bias_drift_200hz,13,11.879999999998855,0,identified_boundary_pressured,3,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.43915468328962737,0.4168453935076519,0.46038359121476413
