condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal,event_role
mass_mismatch,103,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,28,0.24982587499835063,0.8348400971896163,1.197834176109142,0.003432370181412065,0.0009188269010317733,-0.018074523373989848,nan,0.06646888323909414,1.380047767689905e-07,3.562753145835984e-07,0.0,False,True,False,True,True,True,True,6.291002527667244e-06,5.269342024753649e-09,3.134165682015466e-08,0.00024754156630878843,0.00025386917983530056,True,first_divergence
mass_mismatch,103,2,20,0.2,0,20,True,`xtol` termination condition is satisfied.,28,0.5064971669926308,0.833275275114988,1.2000836096594907,0.004374715734343461,0.0022358360448739754,0.002174916090091905,0.0,0.06400879573266338,3.2194527693161793e-07,8.590028247670856e-07,0.0,False,True,False,True,True,True,True,0.00010247140587812027,2.3243848129772364e-07,2.2535852393391327e-07,1.2243340626219602e-09,0.00010293042721741453,True,context
mass_mismatch,103,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.17080779200478,0.833275275114988,1.2000836096594907,0.004468135210633477,nan,-0.001182058038473599,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
parameter_mismatch_low_k,101,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,32,0.2936859580076998,0.8326491681735405,1.200986007340345,0.005769888283345357,0.0022778006957654665,-0.09647522715727774,nan,0.028400573731356432,2.6747546594293245e-07,7.592716482415773e-07,0.0,False,True,False,True,True,True,True,0.00010457806428363945,2.3783232324904716e-08,2.0346571236971526e-07,2.419613052493256e-05,0.00012900144375326662,False,context
parameter_mismatch_low_k,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7799287499947241,0.8326491681735405,1.200986007340345,0.00851795610076332,nan,-0.009924945304129462,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
parameter_mismatch_low_k,101,3,30,0.3,0,30,True,`xtol` termination condition is satisfied.,32,0.8312579579942394,0.8335065069277242,1.1997506818344645,0.0031449150579743092,0.00182058821873697,0.027155194051897702,nan,0.021112574283801068,4.2901386498542886e-07,1.3897818878071816e-06,0.0,False,True,False,True,True,True,True,0.0003353184268483927,8.889738144662603e-07,1.328431040082278e-08,3.6751486971262995e-10,0.0003362210524881295,False,context
parameter_mismatch_low_k,101,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3596891659981338,0.8335065069277242,1.1997506818344645,0.004257558604926066,nan,0.02470816208374549,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
parameter_mismatch_low_k,102,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,32,0.29378562500642147,0.8326491681735405,1.200986007340345,0.005769888283345357,0.0022778006957654665,-0.09647522715727774,nan,0.028400573731356432,2.6747546594293245e-07,7.592716482415773e-07,0.0,False,True,False,True,True,True,True,0.00010457806428363945,2.3783232324904716e-08,2.0346571236971526e-07,2.419613052493256e-05,0.00012900144375326662,False,context
parameter_mismatch_low_k,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7879227920057019,0.8326491681735405,1.200986007340345,0.00851795610076332,nan,-0.009924945304129462,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
parameter_mismatch_low_k,102,3,30,0.3,0,30,True,`xtol` termination condition is satisfied.,32,0.8350174580118619,0.8335065069277242,1.1997506818344645,0.0031449150579743092,0.00182058821873697,0.027155194051897702,nan,0.021112574283801068,4.2901386498542886e-07,1.3897818878071816e-06,0.0,False,True,False,True,True,True,True,0.0003353184268483927,8.889738144662603e-07,1.328431040082278e-08,3.6751486971262995e-10,0.0003362210524881295,False,context
parameter_mismatch_low_k,102,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3560554580035387,0.8335065069277242,1.1997506818344645,0.004257558604926066,nan,0.02470816208374549,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
