method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_current,ukf_filtered,noise,102,first_valid_window,True,10,0.1,0.21416300773049857,0.29297593688623913,1.188870288579752,279.60344410590943,13.41800548962042,0.009274759516873326,0.37865901309797906,0.25455525057664335,0.026849076470600173,69.60095710926228,3.9311527294662425
windowed_nls_current,ukf_filtered,noise,102,fixed_2s_diagnostic,True,200,2.0,0.12055285277231427,0.12497470793345151,1.196910908545579,291.09567748257814,18.10734477719178,0.002574242878684204,0.3531207167053819,0.0059635987328767,0.012027560815680972,3.7177911891673268,2.2629601249798514
windowed_nls_current,ukf_filtered,noise,102,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,ukf_filtered,noise,102.0,first_confidence_threshold,True,60.0,0.6,0.3699084245512663,0.17827737748215594,1.2007254937729093,210.86465848485204,28.398758858568826,0.0006045781440910947,0.5314118700336621,0.5777088254760459,0.009850922864866258,24.76650118422519,5.062856253053795
windowed_nls_huber,ukf_filtered,noise,102.0,first_valid_window,True,10.0,0.1,0.2957627612078462,0.8842446788212919,1.074040879538067,255.00000000000026,24.281802298294714,0.10496593371827753,0.43333333333333274,0.34898901657192855,0.033612720155058166,156.1539032913287,21.471054474457716
windowed_nls_huber,ukf_filtered,noise,102.0,fixed_2s_diagnostic,True,200.0,2.0,0.20828676516361258,0.27728831966758327,1.1979309266393194,287.82135865454666,22.729303564606738,0.0017242278005670983,0.36039698076767407,0.26273908692259657,0.02033160651347368,5.978105072699647,6.302570392644213
windowed_nls_huber,ukf_filtered,noise,102.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,ukf_filtered,noise,102.0,first_confidence_threshold,True,60.0,0.6,0.3613257119649534,0.1703191026617122,1.1996766756729507,210.95678461645804,27.945009965860066,0.0002694369392077419,0.5312071452967599,0.5525005536588926,0.009344925096621331,22.999927104318935,4.759569021257891
windowed_nls_cauchy,ukf_filtered,noise,102.0,first_valid_window,True,10.0,0.1,0.3033643468636154,0.8493439564251454,1.0717183576238984,255.0000000000045,24.65745009499389,0.10690136864675126,0.43333333333332336,0.3698583386107717,0.03277356736141766,151.646912332749,20.942656219037687
windowed_nls_cauchy,ukf_filtered,noise,102.0,fixed_2s_diagnostic,True,200.0,2.0,0.1998842551437471,0.2672059699605313,1.1985782853927236,288.1091208921257,22.296788894338228,0.001184762172730299,0.35975750912860954,0.23871049412990153,0.019698920144780557,5.752517204634419,5.957835103516849
